dataset_pos,name_raw,name_clean,item_text,type,response_min,response_max,response_labels,units,reverse,scale,factor,citation
25,beliefs_12,beliefs_12,Meditation is beneficial for health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
26,beliefs_13,beliefs_13,Prayer is effective for protecting and restoring health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
27,beliefs_14,beliefs_14,Yoga is beneficial for health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
28,beliefs_15,beliefs_15,Taichi is beneficial for health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
29,beliefs_16,beliefs_16,"Therapeutic Massage (e.g Myotherapy, Shiatsu, Bowen Therapy) is an effective healthcare method ",Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
30,beliefs_17,beliefs_17,"Magnet Therapies (e.g. magnetic bracelets, joint braces, creams, plasters) are an effective healthcare method ",Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
31,beliefs_18,beliefs_18,"Specific Diets (e.g. Paleo, Alkaline, Atkins, non-coeliac Gluten-free) are beneficial for health ",Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
32,beliefs_19,beliefs_19,Vaccinations are beneficial for health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
33,beliefs_20,beliefs_20,Antibiotics are beneficial for health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
34,beliefs_21,beliefs_21,Conventional Medicine is an effective healthcare method ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
35,beliefs_22,beliefs_22,Naturopathy is an effective healthcare method ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
36,beliefs_23,beliefs_23,Humans are contributing to significant changes in the climate  ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
37,beliefs_24,beliefs_24,5G communications technologies are a health hazard ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
38,beliefs_25,beliefs_25,Water fluoridation is harmful to humans ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
39,beliefs_26,beliefs_26,Wind turbines are harmful to health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
40,beliefs_27,beliefs_27,Foods made from Genetically Modified Ingredients are harmful ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
41,beliefs_28,beliefs_28,Recycled water should be added to the drinking supply ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
42,beliefs_29,beliefs_29,Natural and unprocessed foods (e.g. Raw Milk) are better for health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
43,beliefs_30,beliefs_30,Governments have suppressed energy technologies  ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
44,beliefs_31,beliefs_31,Corporations have suppressed technology development that would affect their profits. ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
45,beliefs_32,beliefs_32,Viruses like COVID-19 are a product of genetic engineering  ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
46,beliefs_33,beliefs_33,Other intelligent species have visited earth ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
47,beliefs_34,beliefs_34,Governments have exaggerated the risks of COVID-19 to justify restrictions on rights  ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
48,beliefs_35,beliefs_35,Aircraft leave chemical spray trails for nefarious purposes.  ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
49,beliefs_36,beliefs_36,South African anti-Apartheid leader Nelson Mandela died in prison in the 1980s  ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
50,beliefs_37,beliefs_37,"There are powerful actors in the bureaucracy, finance sector, that control government more than elected representatives ",Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
51,beliefs_38,beliefs_38,"There are large creatures (e.g. yeti, phantom cats, Loch Ness Monster) that science does not explain ",Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
52,beliefs_39,beliefs_39,Spirits of the dead remain in the world and can be felt or interacted with ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
53,beliefs_40,beliefs_40,The original moon landing in 1969 was faked ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
54,q11_1,meti_1,competent-incompetent,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
55,q11_2,meti_2,intelligent-unintelligent,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
56,q11_3,meti_3,well educated-poorly educated,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
57,q11_4,meti_4,professional-unprofessional,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
58,q11_5,meti_5,experienced-inexperienced,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
59,q11_6,meti_6,qualified-unqualified,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
60,q11_7,meti_7,sincere-insincere,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
61,q11_8,meti_8,honest-dishonest,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
62,q11_9,meti_9,just-unjust,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
63,q11_10,meti_10,fair-unfair,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
64,q11_11,meti_11,moral-immoral,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
65,q11_12,meti_12,ethical-unethical,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
66,q11_13,meti_13,responsible-irresponsible,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
67,q11_14,meti_14,considerate-inconsiderate,Numeric,1,7,,,,Muenster epistemic Trust inventory,,
68,exposure_qual,exposure_qual,Please write your thoughts (minimum 100 characters) about this tweet and the type of person you think authored it.,character,,,,,,,,
69,q127_first_click,q127_first_click,,numeric,,,,,,,,
70,q127_last_click,q127_last_click,,numeric,,,,,,,,
71,q127_page_submit,q127_page_submit,,numeric,,,,,,,,
72,q127_click_count,q127_click_count,,numeric,,,,,,,,
73,q43_2,Confidence2,Their beliefs about ${e://Field/CONDITION} are wrong ,Numeric,0,100,"0 = not at all confident, 100 = very confident ",,,,,
74,q43_3,Confidence3,Your beliefs about ${e://Field/CONDITION} are correct ,Numeric,0,100,"0 = not at all confident, 100 = very confident ",,,,,
75,q43_1,Confidence1,Your beliefs about ${e://Field/CONDITION} are different from theirs ,Numeric,0,100,"0 = not at all confident, 100 = very confident ",,,,,
76,q45_1,Avoidance1,Avoid working with the author ,Numeric,0,100,"0 = not at all likely, 100 = very likely ",,,,,
77,q45_4,Avoidance2,Avoid talking to the author ,Numeric,0,100,"0 = not at all likely, 100 = very likely ",,,,,
78,q45_5,Avoidance3,Avoid hanging out with the author ,Numeric,0,100,"0 = not at all likely, 100 = very likely ",,,,,
79,q45_6,Avoidance4,Avoid trusting the author ,Numeric,0,100,"0 = not at all likely, 100 = very likely ",,,,,
80,q45_7,Avoidance5,Block the author ,Numeric,0,100,"0 = not at all likely, 100 = very likely ",,,,,
81,q46_1,homophily_1,How much would you like it if the author was your Neighbour,Numeric,0,100,"0 = dislike a great deal, 100 = like a great deal",,,,,
82,q46_4,homophily_2,How much would you like it if the author was your Colleague,Numeric,0,100,"1 = dislike a great deal, 100 = like a great deal",,,,,
83,q46_5,homophily_3,How much would you like it if the author was your Family member,Numeric,0,100,"2 = dislike a great deal, 100 = like a great deal",,,,,
84,q46_6,homophily_4,How much would you like it if the author was your Partner,Numeric,0,100,"3 = dislike a great deal, 100 = like a great deal",,,,,
85,npi_1,npi_1,I know that I am good because everybody keeps telling me so-When people compliment me I sometimes get embarrassed,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
86,npi_2,npi_2,I like to be the center of attention-I prefer to blend in with the crowd,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
87,npi_3,npi_3,I think I am a special person-I am no better or no worse than most people,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
88,npi_4,npi_4,I like having authority over people-I don’t mind following orders,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
89,npi_5,npi_5,I find it easy to manipulate people-I don’t like it when I find myself manipulating people,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
90,npi_6,npi_6,I insist upon getting the respect that is due me-I usually get the respect that I deserve,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
91,npi_7,npi_7,I am apt to show off if I get the chance-I try not to be a show off,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
92,npi_8,npi_8,I always know what I am doing-Sometimes I am not sure of what I am doing,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
93,npi_9,npi_9,Everybody likes to hear my stories-Sometimes I tell good stories,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
94,npi_10,npi_10,I expect a great deal from other people-I like to do things for other people,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
95,npi_11,npi_11,I really like to be the center of attention-It makes me uncomfortable to be the center of attention,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
96,npi_12,npi_12,People always seem to recognize my authority-Being an authority doesn’t mean that much to me,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
97,npi_13,npi_13,I am going to be a great person-I hope I am going to be successful,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
98,npi_14,npi_14,I can make anybody believe anything I want them to-People sometimes believe what I tell them,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
99,npi_15,npi_15,I am more capable than other people-There is a lot that I can learn from other people,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
100,npi_16,npi_16,I am an extraordinary person-I am much like everybody else,Numeric,1,2,,,,Narcisistic Personality Inventory,,"Raskin, R., & Terry, H. (1988). A principal-components analysis of the Narcissistic Personality Inventory and further evidence of its construct validity. Journal of Personality and Social Psychology, 54, 890–902."
101,q2,AOT1,It is  important to be loyal to your beliefs even when evidence is brought to bear against them.,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
102,q3,AOT2,Whether something feels true is more important than evidence.,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
103,q4,AOT3,Just because evidence conflicts with my current beliefs does not mean my beliefs are wrong.Â ,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
104,q5,AOT4,There may be evidence that goes against what you believe but that does not mean you have to change your beliefs.,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
105,q6,AOT5,"Even if there is concrete evidence against what you believe to be true, it is OK to maintain cherished belief.",Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
106,q7,AOT6,"Regardless of the topic, what you believe to be true is more important than evidence against your beliefs.",Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
107,q8,CMT1,"I think there are many wrong ways, but only one right way, to almost anything.Â ",Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
108,q9,CMT2,"In my experience, the truth is often black and white.",Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
109,q10,CMT3,Truth is never relative.,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
110,q11,CMT4,The truth does not change.,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
111,q12,CMT5,Either something is true or it is false; there is nothing in-between.,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
112,q13,CMT6,There is no middle ground between what is true and what is false.,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
113,q14,Intuitive1,I like to rely on my intuitive impressions.Â ,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
114,q15,Intuitive2,I believe in trusting my hunches.Â ,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
115,q16,Intuitive3,"When I make decisions, I tend to rely on my intuition.",Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
116,q17,Intuitive4,"Using my ""gut-feelings"" usually works well for me in figuring out problems in my life.Â ",Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
117,q18,Intuitive5,Intuition is the best guide in making decisions.Â ,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
118,q19,Intuitive6,I often go by my instincts when deciding on a course of action.Â ,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
119,q20,Effort1,Iâ€™m not that good at figuring out complicated problems.Â ,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
120,q21,Effort2,Thinking is not my idea of an enjoyable activity.Â ,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
121,q22,Effort3,I try to avoid situations that require thinking in depth about something.Â ,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
122,q23,Effort4,I am not a very analytical thinker.Â ,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
123,q24,Effort5,Reasoning things out carefully is not one of my strong points.Â ,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
124,q25,Effort6,Thinking hard and for a long time about something gives me little satisfaction.Â ,Numeric ,1,6,"1 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
125,q26,attention,I have been to every country in the world.,Numeric ,1,6,"2 = strongly disagree, 6 = strongly agree",,,Comprehensive Thinking Styles questionnaire,,"Newton, C., Feeney, J., & Pennycook, G. (2021, March 22). The Comprehensive Thinking Styles Questionnaire: A novel measure of intuitive-analytic thinking styles. https://doi.org/10.31234/osf.io/r5wez"
126,bdw_1,bdw_1,"Although it may appear that things are constantly getting more dangerous and chaotic, it really isn’t so. Every era has its problems, and a person’s chances of living a safe, untroubled life are better today than ever before   ",Numeric ,1,5,,,,Belief in a Dangerous World Scale,,"Duckitt, J., Wagner, C., Du Plessis, I., & Birum, I. (2002). The psychological bases of ideology and prejudice: Testing a dual process model. Journal of personality and social psychology, 83(1), 75."
127,bdw_2,bdw_2,Any day now chaos and anarchy could erupt around us. All the signs are pointing to it   ,Numeric ,1,5,,,,Belief in a Dangerous World Scale,,"Duckitt, J., Wagner, C., Du Plessis, I., & Birum, I. (2002). The psychological bases of ideology and prejudice: Testing a dual process model. Journal of personality and social psychology, 83(1), 75."
128,bdw_3,bdw_3,"There are many dangerous people in our society who will attack someone out of pure meanness, for no reason at all   ",Numeric ,1,5,,,,Belief in a Dangerous World Scale,,"Duckitt, J., Wagner, C., Du Plessis, I., & Birum, I. (2002). The psychological bases of ideology and prejudice: Testing a dual process model. Journal of personality and social psychology, 83(1), 75."
129,bdw_4,bdw_4,"Despite what one hears about “crime in the street,” there probably isn’t any more now than there ever has been   ",Numeric ,1,5,,,,Belief in a Dangerous World Scale,,"Duckitt, J., Wagner, C., Du Plessis, I., & Birum, I. (2002). The psychological bases of ideology and prejudice: Testing a dual process model. Journal of personality and social psychology, 83(1), 75."
130,bdw_5,bdw_5,"If a person takes a few sensible precautions, nothing bad is likely to happen to him or her; we do not live in a dangerous world   ",Numeric ,1,5,,,,Belief in a Dangerous World Scale,,"Duckitt, J., Wagner, C., Du Plessis, I., & Birum, I. (2002). The psychological bases of ideology and prejudice: Testing a dual process model. Journal of personality and social psychology, 83(1), 75."
131,bdw_6,bdw_6,"Every day as society become more lawless and bestial, a person’s chances of being robbed, assaulted, and even murdered go up and up   ",Numeric ,1,5,,,,Belief in a Dangerous World Scale,,"Duckitt, J., Wagner, C., Du Plessis, I., & Birum, I. (2002). The psychological bases of ideology and prejudice: Testing a dual process model. Journal of personality and social psychology, 83(1), 75."
132,bdw_7,bdw_7,"My knowledge and experience tells me that the social world we live in is basically a safe, stable and secure place in which most people are fundamentally good   ",Numeric ,1,5,,,,Belief in a Dangerous World Scale,,"Duckitt, J., Wagner, C., Du Plessis, I., & Birum, I. (2002). The psychological bases of ideology and prejudice: Testing a dual process model. Journal of personality and social psychology, 83(1), 75."
133,bdw_8,bdw_8,"It seems that every year there are fewer and fewer truly respectable people, and more and more persons with no morals at all who threaten everyone else   ",Numeric ,1,5,,,,Belief in a Dangerous World Scale,,"Duckitt, J., Wagner, C., Du Plessis, I., & Birum, I. (2002). The psychological bases of ideology and prejudice: Testing a dual process model. Journal of personality and social psychology, 83(1), 75."
134,bdw_9,bdw_9,"The “end” is not near. People who think that earthquakes, wars, and famines mean God might be about to destroy the world are being foolish   ",Numeric ,1,5,,,,Belief in a Dangerous World Scale,,"Duckitt, J., Wagner, C., Du Plessis, I., & Birum, I. (2002). The psychological bases of ideology and prejudice: Testing a dual process model. Journal of personality and social psychology, 83(1), 75."
135,bdw_10,bdw_10,"My knowledge and experience tells me that the social world we live in is basically a dangerous and unpredictable place, in which good, decent and moral people’s values and way of life are threatened and disrupted by bad people ",Numeric ,1,5,,,,Belief in a Dangerous World Scale,,"Duckitt, J., Wagner, C., Du Plessis, I., & Birum, I. (2002). The psychological bases of ideology and prejudice: Testing a dual process model. Journal of personality and social psychology, 83(1), 75."
136,q89_1,mos_1,I feel all alone these days.,Numeric ,1,6,,,,Margins of Society Scale,,"Travis, R. The MOS Alienation Scale: An alternative to Srole's Anomia Scale. Soc Indic Res 28, 71–91 (1993). https://doi.org/10.1007/BF01086717"
137,q89_2,mos_2,My whole world feels like it's falling apart.,Numeric ,1,6,,,,Margins of Society Scale,,"Travis, R. The MOS Alienation Scale: An alternative to Srole's Anomia Scale. Soc Indic Res 28, 71–91 (1993). https://doi.org/10.1007/BF01086718"
138,q89_3,mos_3,I wish I were somebody important.,Numeric ,1,6,,,,Margins of Society Scale,,"Travis, R. The MOS Alienation Scale: An alternative to Srole's Anomia Scale. Soc Indic Res 28, 71–91 (1993). https://doi.org/10.1007/BF01086719"
139,q89_4,mos_4,It's hard for me to tell just what is right and wrong these days.,Numeric ,1,6,,,,Margins of Society Scale,,"Travis, R. The MOS Alienation Scale: An alternative to Srole's Anomia Scale. Soc Indic Res 28, 71–91 (1993). https://doi.org/10.1007/BF01086720"
