start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,distribution_channel,user_language,age,gender,education,beliefs_1,beliefs_2,beliefs_3,beliefs_4,beliefs_5,beliefs_6,beliefs_7,beliefs_8,beliefs_9,beliefs_10,beliefs_11,beliefs_12,beliefs_13,beliefs_14,beliefs_15,beliefs_16,beliefs_17,beliefs_18,beliefs_19,beliefs_20,beliefs_21,beliefs_22,beliefs_23,beliefs_24,beliefs_25,beliefs_26,beliefs_27,beliefs_28,beliefs_29,beliefs_30,beliefs_31,beliefs_32,beliefs_33,beliefs_34,beliefs_35,beliefs_36,beliefs_37,beliefs_38,beliefs_39,beliefs_40,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q11_8,q11_9,q11_10,q11_11,q11_12,q11_13,q11_14,exposure_qual,q127_first_click,q127_last_click,q127_page_submit,q127_click_count,q43_2,q43_3,q43_1,q45_1,q45_4,q45_5,q45_6,q45_7,q46_1,q46_4,q46_5,q46_6,npi_1,npi_2,npi_3,npi_4,npi_5,npi_6,npi_7,npi_8,npi_9,npi_10,npi_11,npi_12,npi_13,npi_14,npi_15,npi_16,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,bdw_1,bdw_2,bdw_3,bdw_4,bdw_5,bdw_6,bdw_7,bdw_8,bdw_9,bdw_10,q89_1,q89_2,q89_3,q89_4,q89_5,q89_6,q27,prolific_pid,study_id,session_id,cam,climate,vax,condition
2021-07-29T02:17:31Z,2021-07-29T02:49:05Z,0,100,1893,1,2021-07-29T02:49:05Z,NA,anonymous,EN-GB,18,Female,2,5,3,3,5,2,4,1,5,4,6,5,6,1,7,6,4,2,5,7,6,7,5,7,2,2,1,3,3,4,3,5,1,3,1,1,1,5,3,3,2,2,1,2,2,3,2,3,1,3,3,2,2,3,3,"This tweet completely disregards all the evidence that points towards the correlation between humans and climate change. The person who authored this tweet is ignorant or simply delusional, and is likely doing it for controversy if not for the former reasons. It is therefore outrageous to assume that the words of one person should overshadow the words of thousands of scientists and trained professionals, all who beg to differ. The person should consider conducting a little research before spouting nonsense, as this is the sort of incentive used to sway the minds of the less educated. Thus, this would perpetuate our lack of action, and in turn the consequences that arise from climate change.
",8.055,758.371,758.737,31,100,0,95,100,100,100,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,4,3,2,2,2,5,1,4,4,4,4,2,3,4,2,4,2,3,5,3,1,5,2,2,5,2,4,4,1,5,3,2,1,6,3,3,2,NA,NA,NA,NA,3,7,7,Anthropogenic (Human Caused) Climate Change
2021-07-29T02:29:04Z,2021-07-29T02:51:27Z,0,100,1342,1,2021-07-29T02:51:27Z,NA,anonymous,EN-GB,21,Female,2,6,3,4,4,1,2,1,4,6,6,5,7,1,6,5,4,2,5,7,7,7,1,7,1,2,1,3,5,5,2,2,1,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I think that there is no reason that any medical establishment would have a need/reason to 'suppress' evidence for any effective medicine. I think the person who wrote this tweet would be someone with little understanding of what goes into creating medicines, and probably has not done sufficient research.",2.56,220.856,239.473,8,81,31,70,70,70,70,70,10,10,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,3,2,3,2,3,3,2,3,4,5,4,4,4,4,3,3,3,2,3,4,1,2,3,4,3,1,2,2,1,4,3,2,2,4,2,5,2,NA,NA,NA,NA,3,7,7,Alternative Medicines (e.g. Herbal Remedies)
2021-07-29T02:41:15Z,2021-07-29T02:53:35Z,0,100,740,1,2021-07-29T02:53:35Z,NA,anonymous,EN-GB,20,Female,5,5,5,5,5,3,5,1,3,5,4,1,6,1,6,5,7,5,3,7,5,6,3,7,1,3,3,3,3,3,3,5,1,1,3,2,5,2,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,1,1,I somewhat agree with this statement however i believe that is not the sole way they are keeping people safe. I think the research and medicines they have created keep us safe as they are and showing that alternative medicines are inneffective is a backup to this. I think the person who wrote it is a science enthusiast,5.676,5.676,120.925,1,31,17,67,22,9,0,0,0,67,81,82,86,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2,1,2,1,1,3,4,3,4,3,4,5,5,4,4,4,4,3,2,3,3,2,2,1,4,2,2,4,2,2,2,3,5,4,5,3,3,2,2,1,NA,NA,NA,NA,5,7,7,Alternative Medicines (e.g. Herbal Remedies)
2021-07-29T02:39:45Z,2021-07-29T02:54:46Z,0,100,901,1,2021-07-29T02:54:46Z,NA,anonymous,EN-GB,18,Female,2,5,5,5,4,5,4,2,5,4,4,4,7,5,6,6,4,4,4,7,7,7,5,7,2,2,2,2,1,5,6,5,3,4,2,2,3,4,3,4,2,1,1,1,1,1,1,2,3,3,3,3,3,2,2,"There is many studies that show that carbon emissions produced by multimillion dollar corporations is directly effecting the increase in global temperature, thus changing the climate. The author sounds like my cynical and stubborn father.",3.879,64.484,125.049,4,86,40,59,80,89,89,88,5,8,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2,2,3,2,2,2,1,1,1,1,2,3,3,3,4,2,3,5,4,4,2,2,4,1,3,3,4,4,2,3,2,4,4,4,6,5,5,6,4,5,NA,NA,NA,NA,5,7,7,Anthropogenic (Human Caused) Climate Change
2021-07-29T02:50:11Z,2021-07-29T02:56:02Z,0,100,350,1,2021-07-29T02:56:02Z,NA,anonymous,EN-GB,22,Female,5,6,6,6,5,6,6,6,4,5,6,4,6,6,7,5,6,5,6,7,6,6,6,5,5,6,3,6,4,6,3,6,6,4,6,3,6,6,6,5,4,4,2,1,1,1,1,3,5,4,4,5,5,5,5,"I think even though we do not have concrete information in regards to the benefits and disadvantages of the vaccine, we should vaccinate our children in order to protect them from the virus as much as possible.",4.701,4.701,49.984,1,82,83,64,90,91,90,90,25,50,50,50,39,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,NA,NA,NA,NA,6,5,7,Vaccinations
2021-07-29T02:47:54Z,2021-07-29T03:00:31Z,0,100,756,1,2021-07-29T03:00:31Z,NA,anonymous,EN-GB,24,Female,2,3,5,4,4,5,1,4,6,5,5,4,6,4,5,5,5,1,4,7,7,7,5,7,1,4,3,3,4,6,3,3,1,5,1,1,1,3,1,6,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,"I agree partly with the statement however I do believe ""alternative medicines"" can be effective for some people and that should not be discredited. I believe the person who tweeted this would most likely have a heavy interest in science and a self-righteous view of Eastern medicinal practices, which I believe can be sometimes rooted in racism.",19.658,106.313,108.936,4,77,50,50,61,50,91,51,4,43,19,56,4,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,2,3,4,4,2,2,1,3,2,1,1,4,4,2,3,2,3,2,2,2,2,2,2,1,4,1,2,4,1,2,4,2,5,2,5,2,2,3,3,1,NA,NA,NA,NA,5,7,7,Alternative Medicines (e.g. Herbal Remedies)
2021-07-29T02:50:41Z,2021-07-29T03:04:08Z,0,100,807,1,2021-07-29T03:04:09Z,NA,anonymous,EN-GB,18,Female,2,2,3,3,3,2,2,1,5,7,5,2,5,1,5,4,5,5,2,7,7,7,3,7,1,1,1,1,4,3,3,4,1,1,1,1,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,I disagree with this tweet as I believe vaccines are essential to one's health. The type of person writing this would be uneducated and dangerous because they might influence other's on their harmful beliefs.,2.488,2.488,65.144,1,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,1,2,5,5,4,3,4,4,5,4,4,5,5,5,1,3,4,2,3,3,1,4,1,4,3,4,2,4,2,5,3,2,1,5,3,2,1,NA,NA,NA,NA,3,7,7,Vaccinations
2021-07-29T02:52:40Z,2021-07-29T03:04:14Z,0,100,694,1,2021-07-29T03:04:15Z,NA,anonymous,EN-GB,20,female,2,5,5,6,3,6,6,4,6,6,6,3,6,2,6,6,5,4,4,6,5,5,6,6,2,4,3,4,6,3,5,3,2,3,2,2,3,2,4,4,2,2,1,1,1,1,1,3,4,3,3,4,5,3,3,"I somewhat disagree with this tweet, although they make a point that children aren't fully developed and hence may be at a higher risk for side effects from vaccines. However I disagree that they are ineffective and too risky completely, as I believe that with the use of a vaccine any individual will be come less susceptible to contracting a disease.",5.643,5.643,115.977,1,91,71,77,52,77,77,80,70,14,17,12,4,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,4,2,3,3,3,2,2,3,2,2,2,2,4,4,3,4,4,3,2,2,2,2,2,3,1,4,4,3,4,2,3,3,4,3,4,2,2,3,2,4,2,NA,NA,NA,NA,5,6,6,Vaccinations
2021-07-29T02:49:51Z,2021-07-29T03:05:39Z,0,100,947,1,2021-07-29T03:05:39Z,NA,anonymous,EN-GB,18,Female,1,6,4,5,5,3,4,2,6,6,6,6,6,2,7,5,2,3,5,7,7,7,3,7,1,1,1,2,4,2,2,2,1,3,1,1,1,5,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,"I personally do not agree with this tweet, and the fact that the author has this opinion, and thinks that writing a one sentence tweet with no evidence whatsoever is an intelligent way to express their opinion, makes me disagree with them more.",3.577,106.01,125.484,5,90,75,75,95,95,60,95,60,40,30,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,2,3,1,1,3,1,1,3,4,3,2,2,3,1,1,1,1,1,1,1,4,3,3,3,2,3,1,4,2,3,5,4,4,6,3,7,NA,NA,NA,NA,4,7,7,Anthropogenic (Human Caused) Climate Change
2021-07-29T02:36:54Z,2021-07-29T03:06:57Z,0,100,1802,1,2021-07-29T03:06:57Z,NA,anonymous,EN-GB,20,Female,2,1,5,1,5,1,1,1,3,4,4,3,6,2,5,4,2,1,3,7,5,4,2,7,1,1,1,1,5,2,5,5,1,1,1,2,1,6,1,1,1,1,1,1,1,1,1,4,4,2,2,2,2,1,3,this tweet to me is one out of fear and one that has been affected by social medias false view of vaccines. evidence based medicine shows that there is very low risk associated with vaccine and the greater benefit far out weighs the risk. The type of person that auhtored this to me is potentially not very well informed on the this issue,12.151,12.151,225.28,1,92,82,88,90,8,8,89,1,29,18,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,2,3,3,2,4,2,2,5,4,5,5,5,4,2,2,2,5,2,4,1,2,2,3,4,3,4,4,2,2,4,3,3,5,4,2,2,NA,NA,NA,NA,5,7,7,Vaccinations
2021-07-29T02:39:14Z,2021-07-29T03:08:21Z,0,100,1747,1,2021-07-29T03:08:22Z,NA,anonymous,EN-GB,25,Female,2,5,2,5,5,1,1,1,4,4,6,2,5,1,5,6,5,1,2,7,7,7,5,7,1,4,4,6,1,7,4,3,4,5,1,3,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I think this person is the type of person who believes that the medical industry has access to more information about alternative medicine effectiveness than they are advising the public. This person is clearly a sceptic who believes that the medical industry and perhaps even the government, are withholding certain information and facts about alternative medicines to aid their own profit. This person believes that if the medical industry began telling people about the effectiveness of alternative medicines, then they would lose money as people would not be buying as many pharmaceuticals.",20.177,343.312,344.418,27,50,85,77,100,70,80,50,25,20,70,90,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,2,5,5,1,2,3,3,3,2,2,4,5,3,5,3,3,3,2,2,2,1,3,1,3,3,5,2,1,4,1,4,5,4,6,5,7,1,1,1,NA,NA,NA,NA,2,7,7,Alternative Medicines (e.g. Herbal Remedies)
2021-07-29T02:52:41Z,2021-07-29T03:08:51Z,0,100,969,1,2021-07-29T03:08:51Z,NA,anonymous,EN-GB,18,Male,2,5,5,4,6,4,3,1,4,6,5,4,5,1,6,5,5,1,5,7,7,7,3,7,1,1,1,1,4,4,2,3,1,5,1,1,1,3,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,"I disagree with this opinion. I do believe that some alternative medicines are ineffective and this has been proven with science. I very much doubt that medical establishments are doing this to gain profit, but rather for the health benefits of the community.",11.443,214.067,246.748,5,69,81,50,81,80,82,80,8,23,9,8,11,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1,2,2,1,2,1,1,5,2,2,1,6,5,5,5,5,5,2,1,1,2,2,1,1,5,2,5,4,2,2,3,1,5,3,5,1,5,5,2,2,NA,NA,NA,NA,5,7,7,Alternative Medicines (e.g. Herbal Remedies)
2021-07-29T02:55:44Z,2021-07-29T03:08:55Z,0,100,790,1,2021-07-29T03:08:55Z,NA,anonymous,EN-GB,24,Female,5,5,4,5,3,3,4,1,3,3,5,3,5,4,5,4,5,4,4,7,5,5,4,7,3,2,4,3,4,3,4,4,4,2,3,4,4,4,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Firstly, vaccines are approved after conducting clinical trials, to test their efficacy and safety. If vaccines did not show any promising results, it would not be allowed to be administered to anyone. There may be adverse effects or reactions but they should be rare if you are well educated on the contraindications and any possible allergic reactions. Vaccines save lives and prevent death from diseases",4.001,26.899,117.058,4,91,70,90,100,100,100,100,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,3,3,3,2,2,2,3,4,2,2,4,4,4,4,4,4,2,3,2,1,2,4,1,3,4,5,1,1,3,3,3,3,4,1,1,1,1,1,1,NA,NA,NA,NA,4,7,7,Vaccinations
2021-07-29T02:54:23Z,2021-07-29T03:10:16Z,0,100,952,1,2021-07-29T03:10:16Z,NA,anonymous,EN-GB,25,Female,5,5,7,2,5,4,2,5,7,6,7,6,7,2,7,7,3,2,6,6,6,6,5,7,1,3,2,3,2,7,7,7,6,7,2,4,4,7,5,6,2,1,1,1,1,1,1,5,5,5,5,6,6,6,6,"There have been many studies throughout the years the have proved that vaccines are an effective method to combat preventable illnesses and diseases. However, not all vaccines are 100% effective or safe, and there will of course be some adverse side effects or unintended risks involved with receiving vaccines, especially in children. Though, based on the studies performed and the results produced I believe it would be more harmful to not vaccinate children out of fear of the adverse effects. The person that tweeted this message may be uninformed in the effectiveness of modern day vaccines and may be generalising that all vaccines are harmful to children where this may not actually be the case. Although certain risks exist, the risk of not vaccinating children may be greater.",9.009,65.299,249.348,5,82,86,82,97,96,96,98,97,76,40,5,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,4,4,4,4,2,1,1,1,1,1,5,3,4,4,2,2,4,4,5,4,2,1,5,1,5,1,5,4,1,2,4,4,5,2,5,2,7,3,2,6,NA,NA,NA,NA,7,7,6,Vaccinations
2021-07-29T02:54:30Z,2021-07-29T03:10:42Z,0,100,971,1,2021-07-29T03:10:42Z,NA,anonymous,EN-GB,19,Female,2,7,5,4,7,4,4,5,4,2,4,2,5,2,5,4,5,4,6,6,6,5,4,7,1,4,4,3,4,4,1,4,3,4,4,4,4,4,4,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"There most definitely is convincing evidence that humans are causing climate change. As our population grows and more and more man-made industries grow, the more the earth is suffering. I believe that if human-kind came together to solve the climate crisis we can all live longer on this Earth. With no changes, the Earth and humanity along with it will die out.",4.915,118.499,139.402,7,100,100,100,30,20,20,30,45,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,4,2,3,3,2,4,3,3,6,6,6,5,4,6,2,4,3,5,2,3,1,2,3,4,2,2,3,2,2,2,4,2,2,2,1,2,1,NA,NA,NA,NA,5,7,6,Anthropogenic (Human Caused) Climate Change
2021-07-29T02:40:11Z,2021-07-29T03:11:04Z,0,100,1853,1,2021-07-29T03:11:04Z,NA,anonymous,EN-GB,33,Female,5,6,5,6,7,3,2,4,4,5,6,6,5,5,7,4,4,4,6,7,6,7,5,6,5,4,4,7,1,6,4,7,5,4,1,4,4,6,7,3,6,1,2,1,1,3,1,3,5,4,4,5,3,3,3,The person who tweeted this seems to be cynical about the healthcare system. By this tweet the person is trying to imply that healthcare system is concealing the positive effect of alternative medicine.,47.768,300.451,348.399,14,61,25,61,0,23,57,17,0,52,6,32,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,2,4,4,3,3,2,5,3,4,3,4,4,3,3,4,4,3,2,2,2,2,5,NA,1,2,3,5,4,2,5,3,4,2,2,1,1,1,1,1,1,NA,NA,NA,NA,5,6,7,Alternative Medicines (e.g. Herbal Remedies)
